行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
西屯區,臺中市西屯區福上巷２３５弄１６號,全,透天厝,人行道、住宅、樓梯間,31,0,31,有,9000,,,分租套房,無,有,冷氣、熱水器、電視機、冰箱、網路
東區,臺中市東區大勇街２９號,全,透天厝,商業用,9,2,10,有,8000,,4樓外推多人共同承租2；租金總額含管理費；網路費；含增建或未登記建物；續租案件；,分租套房,無,無,冷氣、熱水器、電視機、冰箱
北屯區,臺中市北屯區北平路四段２７號,全,透天厝,住商用,10,1,10,有,17000,,租賃建物部分範圍，且未計入共有部分面積；,分租套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
北屯區,臺中市北屯區崇德路二段１３０號１８樓之１,十八層,辦公商業大樓,商業用,0,0,0,無,53000,,,,有,有,
西屯區,臺中市西屯區市政北二路２３６號１６樓之１,十六層,辦公商業大樓,辦公事務所及工商服務業,0,0,0,無,220000,,租金總額含稅；管理費；租賃期間有約定不同租金114年11月1號到115年10月31日，租金22萬元/月。115年11月1號到116年10月31日，租金22.6萬元/月。；,,有,有,冷氣
南區,臺中市南區仁義街８６之８號８樓,八層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,5700,,,獨立套房,有,有,冷氣、熱水器、冰箱
南區,臺中市南區柳川東路一段７號１２樓,十二層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,22650,坡道機械,社會住宅包租代管公會版41期907,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
西區,臺中市西區忠勤街４３巷２號３樓之６,三層,公寓(5樓含以下無電梯),集合住宅,1,0,1,有,8000,,,獨立套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區民生路１９７號六樓之１５,六層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,8800,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
南區,臺中市南區福田一街２０１號五樓之６,五層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,無,21125,,台中市政府包租代管計畫，管理費2375元由出租人負擔。續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
西區,臺中市西區三民路一段５０巷８號１１樓之３２,十一層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,5000,,續租案件；,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
南區,臺中市南區三民西路３３７號７樓,七層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,23804,,此為台中市政府社會住宅包租代管計畫。管理費2196元由出租人負擔。多人共同承租3；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、瓦斯或天然氣
北屯區,臺中市北屯區環太東路５５７號１４樓之６,十四層,住宅大樓(11層含以上有電梯),集合住宅,2,2,1,有,24000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
北屯區,臺中市北屯區文心路四段６７２號２１樓之２４,二十一層,住宅大樓(11層含以上有電梯),住家用,1,1,1,有,6100,,,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
北屯區,臺中市北屯區安順北二街１５之２號,三層,華廈(10層含以下有電梯),住家用,3,2,2,無,21500,,台中市政府包租代管計畫續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
北區,臺中市北區榮華街６８號４樓之５,四層,公寓(5樓含以下無電梯),住家用,1,0,1,有,5500,,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。,獨立套房,無,無,冷氣、熱水器、洗衣機、冰箱
北區,臺中市北區大義街２６巷４之９號,七層,華廈(10層含以下有電梯),住家用,1,1,1,有,7500,,台中市政府包租代管計畫。多人共同承租2；,獨立套房,有,有,熱水器
北區,臺中市北區北屯路４５號１０樓之２,十層,住宅大樓(11層含以上有電梯),住家用,4,0,4,有,4000,,此租約訂定金額不含管理費，費用為承租人另行支付。如網速不夠，將由乙方自行向網路公司申請處理租金總額含水費；網路費；其他第四台；租賃建物部分範圍，且未計入共有部分面積；續租案件；,分租套房,有,有,冷氣、熱水器、冰箱、有線電視、網路
北屯區,臺中市北屯區豐樂五街９９號十二樓之１,十二層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,有,25500,坡道平面,清潔保養費500元/月由乙方支付。多人共同承租2；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北區,臺中市北區五權路３２５號１０樓之２,十層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,12000,,,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱
北區,臺中市北區漢口路三段７６之２號４樓,四層,公寓(5樓含以下無電梯),住家用,3,2,2,有,19000,,多人共同承租2；續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
北區,臺中市北區陝西路６５號七樓之１,七層,華廈(10層含以下有電梯),住家用,3,2,2,有,17500,,租金總額含水費；,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣、有線電視、網路
西屯區,臺中市西屯區大有一街１之３號,四層,公寓(5樓含以下無電梯),住家用,3,1,2,有,12000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器、瓦斯或天然氣
西屯區,臺中市西屯區逢大路５２號８樓之７,八層,華廈(10層含以下有電梯),集合住宅,2,1,1,有,15200,,未租賃車位，建物登記含有車位面積；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、冰箱
