行政區,地址,樓層,型態,主要用途,房間,客廳,衛浴,有無傢俱,租金,車位類別,備註,出租型態,有無管理員,有無電梯,附屬設備
烏日區,臺中市烏日區中華路２９４巷１２弄７號七樓,七層,華廈(10層含以下有電梯),集合住宅,4,2,2,有,19000,,房屋租金19000/月，管理費2000/月,整棟(戶)出租,有,有,冷氣、熱水器、瓦斯或天然氣
太平區,臺中市太平區東村路４８號三樓之７,三層,華廈(10層含以下有電梯),集合住宅,3,2,2,有,18000,,社會住宅包租代管公會版4期792-1續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、冰箱、瓦斯或天然氣
太平區,臺中市太平區長億六街５４巷９號,全,透天厝,住家用,3,2,2,有,22000,,續租案件；,整棟(戶)出租,無,無,冷氣、熱水器
太平區,臺中市太平區樹孝路２-１７號,見其他登記事項,店面(店鋪),店舖,0,2,2,無,45000,,,,有,有,
龍井區,臺中市龍井區藝術街３９巷３號三樓之５,三層,公寓(5樓含以下無電梯),住家用,1,1,1,有,5500,,社會住宅水電瓦斯另由承租人負擔,獨立套房,無,無,冷氣、熱水器、洗衣機、冰箱
西區,後子段133-17地號,,其他,,0,0,0,無,126000,,租金總額含稅；,,,,
南屯區,臺中市南屯區大墩十二街１１１號,全,透天厝,店房、住房、人行道、避難室,14,0,14,有,7700,,租賃建物部分範圍，且未計入共有部分面積；續租案件；,分租套房,無,無,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區中華路１段１-７號１８樓之１８,十八層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,8000,,台中市政府包租代管計畫。續租案件；,獨立套房,有,有,冷氣、熱水器、電視機、冰箱
南區,臺中市南區工學北路８６號９樓之２１,九層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,6470,,此為國家住宅及都市更新中心社會住宅包租代管計畫之物件。管理費530元由出租人負擔。,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
西區,臺中市西區五權路１-１３９號７樓之１,七層,住宅大樓(11層含以上有電梯),住家用,3,2,2,有,20870,,台中市政府包租代管計畫。管理費2130元由出租人負擔。續租案件；,整棟(戶)出租,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南區,臺中市南區高工路３３９號１+２樓,全,透天厝,店舖，住宅，人行道,0,2,2,無,55000,,公司簽立 但目前是籌備處尚未有統編（辰旭有限公司籌備處）租金總額含稅；,,無,無,瓦斯或天然氣
南區,臺中市南區學府路１４６巷１５號１３樓之１,十三層,住宅大樓(11層含以上有電梯),集合住宅,1,1,1,有,11100,,社會住宅管理費700元、水電瓦斯另由承租人負擔,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣
南區,臺中市南區仁義街８６-１０號３樓,三層,住宅大樓(11層含以上有電梯),住家用,1,0,1,有,5800,,社會住宅包租代管公會版41期,獨立套房,無,有,冷氣、熱水器、冰箱
西區,臺中市西區中華路一段１-７號２１樓之１０,二十一層,住宅大樓(11層含以上有電梯),集合住宅,1,0,1,有,8000,,社會住宅包租代管公會版4期合約不足一年,獨立套房,有,有,冷氣、熱水器、洗衣機、電視機、冰箱
東區,臺中市東區大勇街６４號６樓之３,六層,華廈(10層含以下有電梯),住家用,1,0,1,有,10000,,社會住宅包租代管公會版4期79-2租金總額含網路費；其他第四台；續租案件；,獨立套房,無,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、有線電視、網路
東區,臺中市東區樂業路２３０號３樓之６,三層,住宅大樓(11層含以上有電梯),集合住宅,3,2,2,無,30000,坡道平面,,整棟(戶)出租,有,有,冷氣、熱水器
